date,shop,genre,predicted_sales,predicted_page_views,predicted_page_views_low,predicted_page_views_high
2026-04-01,10130,205611,2355,24,8,51
2026-04-02,10130,205611,2061,23,8,49
2026-04-03,10130,205611,1691,22,7,47
2026-04-04,10130,205611,1524,23,8,49
2026-04-05,10130,205611,2104,24,8,51
2026-04-06,10130,205611,2215,26,9,56
2026-04-07,10130,205611,2335,27,9,58
2026-04-08,10130,205611,2248,27,9,58
2026-04-09,10130,205611,2447,26,9,56
2026-04-10,10130,205611,2897,26,9,56
2026-04-11,10130,205611,2270,25,8,54
2026-04-12,10130,205611,2292,22,7,47
2026-04-13,10130,205611,1622,18,6,39
2026-04-14,10130,205611,1438,16,5,34
2026-04-15,10130,205611,1809,15,5,32
2026-04-16,10130,205611,1061,14,5,30
2026-04-17,10130,205611,1000,12,4,26
2026-04-18,10130,205611,1000,12,4,26
2026-04-19,10130,205611,1056,12,4,26
2026-04-20,10130,205611,1086,11,4,24
2026-04-21,10130,205611,765,11,4,24
2026-04-22,10130,205611,956,11,4,24
2026-04-23,10130,205611,931,11,4,24
2026-04-24,10130,205611,1035,11,4,24
2026-04-25,10130,205611,1280,11,4,24
2026-04-26,10130,205611,1048,11,4,24
2026-04-27,10130,205611,1338,12,4,26
2026-04-28,10130,205611,1296,12,4,26
2026-04-29,10130,205611,1323,12,4,26
2026-04-30,10130,205611,1669,12,4,26
2026-04-01,10130,206440,54566,373,114,897
2026-04-02,10130,206440,45456,367,112,883
2026-04-03,10130,206440,41522,358,109,861
2026-04-04,10130,206440,57473,511,156,1229
2026-04-05,10130,206440,58753,536,164,1290
2026-04-06,10130,206440,61018,570,174,1371
2026-04-07,10130,206440,60548,562,172,1352
2026-04-08,10130,206440,57958,557,170,1340
2026-04-09,10130,206440,56532,558,170,1342
2026-04-10,10130,206440,57695,559,171,1345
2026-04-11,10130,206440,57697,562,172,1352
2026-04-12,10130,206440,40760,396,121,953
2026-04-13,10130,206440,33955,336,103,808
2026-04-14,10130,206440,46187,369,113,888
2026-04-15,10130,206440,52034,392,120,943
2026-04-16,10130,206440,54116,400,122,962
2026-04-17,10130,206440,50697,393,120,945
2026-04-18,10130,206440,38625,367,112,883
2026-04-19,10130,206440,38920,371,113,893
2026-04-20,10130,206440,53522,380,116,914
2026-04-21,10130,206440,37057,352,107,847
2026-04-22,10130,206440,40225,349,107,840
2026-04-23,10130,206440,37959,339,103,816
2026-04-24,10130,206440,45168,358,109,861
2026-04-25,10130,206440,47463,389,119,936
2026-04-26,10130,206440,46669,391,119,941
2026-04-27,10130,206440,41522,364,111,876
2026-04-28,10130,206440,34486,331,101,796
2026-04-29,10130,206440,35464,333,102,801
2026-04-30,10130,206440,46677,377,115,907
2026-04-01,10130,206471,9365,182,62,383
2026-04-02,10130,206471,8091,184,63,388
2026-04-03,10130,206471,7106,187,64,394
2026-04-04,10130,206471,9250,208,71,438
2026-04-05,10130,206471,9120,224,77,472
2026-04-06,10130,206471,10374,238,81,501
2026-04-07,10130,206471,9681,240,82,506
2026-04-08,10130,206471,8909,242,83,510
2026-04-09,10130,206471,8742,241,82,508
2026-04-10,10130,206471,9557,244,83,514
2026-04-11,10130,206471,10171,248,85,522
2026-04-12,10130,206471,8396,226,77,476
2026-04-13,10130,206471,6822,207,71,436
2026-04-14,10130,206471,9488,216,74,455
2026-04-15,10130,206471,9480,226,77,476
2026-04-16,10130,206471,10868,239,82,503
2026-04-17,10130,206471,12575,243,83,512
2026-04-18,10130,206471,9481,240,82,506
2026-04-19,10130,206471,10873,247,84,520
2026-04-20,10130,206471,12643,246,84,518
2026-04-21,10130,206471,9390,238,81,501
2026-04-22,10130,206471,10927,235,80,495
2026-04-23,10130,206471,10725,229,78,482
