date,genre,rank,shop,source,sales,lower_rank,upper_rank,lower_sales,upper_sales
2023-06-01,101535,30,1918,actual,55290.0,,,,
2023-06-01,101535,52,1918,actual,33282.0,,,,
2023-06-01,101535,53,,estimated,32961.38,52,70,33282.0,27960.0
2023-06-01,101535,54,,estimated,32643.85,52,70,33282.0,27960.0
2023-06-01,101535,55,,estimated,32329.38,52,70,33282.0,27960.0
2023-06-01,101535,56,,estimated,32017.94,52,70,33282.0,27960.0
2023-06-01,101535,57,,estimated,31709.5,52,70,33282.0,27960.0
2023-06-01,101535,58,,estimated,31404.03,52,70,33282.0,27960.0
2023-06-01,101535,59,,estimated,31101.5,52,70,33282.0,27960.0
2023-06-01,101535,60,,estimated,30801.89,52,70,33282.0,27960.0
2023-06-01,101535,61,,estimated,30505.16,52,70,33282.0,27960.0
2023-06-01,101535,62,,estimated,30211.29,52,70,33282.0,27960.0
2023-06-01,101535,63,,estimated,29920.26,52,70,33282.0,27960.0
2023-06-01,101535,64,,estimated,29632.02,52,70,33282.0,27960.0
2023-06-01,101535,65,,estimated,29346.57,52,70,33282.0,27960.0
2023-06-01,101535,66,,estimated,29063.86,52,70,33282.0,27960.0
2023-06-01,101535,67,,estimated,28783.87,52,70,33282.0,27960.0
2023-06-01,101535,68,,estimated,28506.59,52,70,33282.0,27960.0
2023-06-01,101535,69,,estimated,28231.97,52,70,33282.0,27960.0
2023-06-01,101535,70,36477,actual,27960.0,,,,
2023-06-01,110365,6,193,actual,37400.0,,,,
2023-06-01,110365,7,193,actual,35200.0,,,,
2023-06-01,110365,8,,estimated,30948.17,7,16,35200.0,11050.0
2023-06-01,110365,9,,estimated,27209.91,7,16,35200.0,11050.0
2023-06-01,110365,10,,estimated,23923.19,7,16,35200.0,11050.0
2023-06-01,110365,11,,estimated,21033.45,7,16,35200.0,11050.0
2023-06-01,110365,12,,estimated,18492.76,7,16,35200.0,11050.0
2023-06-01,110365,13,,estimated,16258.96,7,16,35200.0,11050.0
2023-06-01,110365,14,,estimated,14294.96,7,16,35200.0,11050.0
2023-06-01,110365,15,,estimated,12568.2,7,16,35200.0,11050.0
2023-06-01,110365,16,193,actual,11050.0,,,,
2023-06-01,110365,17,,estimated,11180.97,16,23,11050.0,12000.0
2023-06-01,110365,18,,estimated,11313.48,16,23,11050.0,12000.0
2023-06-01,110365,19,,estimated,11447.57,16,23,11050.0,12000.0
2023-06-01,110365,20,,estimated,11583.25,16,23,11050.0,12000.0
2023-06-01,110365,21,,estimated,11720.53,16,23,11050.0,12000.0
2023-06-01,110365,22,,estimated,11859.44,16,23,11050.0,12000.0
2023-06-01,110365,23,193,actual,12000.0,,,,
2023-06-01,110365,46,193,actual,7200.0,,,,
2023-06-01,110365,47,,estimated,6942.19,46,51,7200.0,6000.0
2023-06-01,110365,48,,estimated,6693.61,46,51,7200.0,6000.0
2023-06-01,110365,49,,estimated,6453.93,46,51,7200.0,6000.0
2023-06-01,110365,50,,estimated,6222.83,46,51,7200.0,6000.0
2023-06-01,110365,51,193,actual,6000.0,,,,
2023-06-01,110435,2,55059,actual,161920.0,,,,
2023-06-01,110435,3,,estimated,138922.21,2,14,161920.0,25760.0
2023-06-01,110435,4,,estimated,119190.82,2,14,161920.0,25760.0
2023-06-01,110435,5,,estimated,102261.89,2,14,161920.0,25760.0
2023-06-01,110435,6,,estimated,87737.4,2,14,161920.0,25760.0
2023-06-01,110435,7,,estimated,75275.83,2,14,161920.0,25760.0
2023-06-01,110435,8,,estimated,64584.19,2,14,161920.0,25760.0
2023-06-01,110435,9,,estimated,55411.1,2,14,161920.0,25760.0
2023-06-01,110435,10,,estimated,47540.86,2,14,161920.0,25760.0
2023-06-01,110435,11,,estimated,40788.45,2,14,161920.0,25760.0
2023-06-01,110435,12,,estimated,34995.08,2,14,161920.0,25760.0
2023-06-01,110435,13,,estimated,30024.56,2,14,161920.0,25760.0
2023-06-01,110435,14,55059,actual,25760.0,,,,
2023-06-01,200181,12,1610,actual,23677.0,,,,
2023-06-01,200181,13,,estimated,21446.48,12,15,23677.0,17596.0
2023-06-01,200181,14,,estimated,19426.08,12,15,23677.0,17596.0
2023-06-01,200181,15,1610,actual,17596.0,,,,
2023-06-01,200181,44,42777,actual,8720.0,,,,
2023-06-01,200181,76,42777,actual,8620.0,,,,
2023-06-01,201632,77,37747,actual,8778.0,,,,
2023-06-01,204934,46,2326,actual,54000.0,,,,
2023-06-01,204964,40,2326,actual,54802.0,,,,
2023-06-01,205272,7,1610,actual,23397.0,,,,
2023-06-01,205272,8,,estimated,25726.8,7,15,23397.0,49999.0
2023-06-01,205272,9,,estimated,28288.58,7,15,23397.0,49999.0
2023-06-01,205272,10,,estimated,31105.45,7,15,23397.0,49999.0
2023-06-01,205272,11,,estimated,34202.8,7,15,23397.0,49999.0
2023-06-01,205272,12,,estimated,37608.56,7,15,23397.0,49999.0
2023-06-01,205272,13,,estimated,41353.44,7,15,23397.0,49999.0
2023-06-01,205272,14,,estimated,45471.21,7,15,23397.0,49999.0
2023-06-01,205272,15,18357,actual,49999.0,,,,
2023-06-01,205272,16,,estimated,43835.51,15,20,49999.0,25899.0
2023-06-01,205272,17,,estimated,38431.79,15,20,49999.0,25899.0
2023-06-01,205272,18,,estimated,33694.19,15,20,49999.0,25899.0
2023-06-01,205272,19,,estimated,29540.59,15,20,49999.0,25899.0
2023-06-01,205272,20,1610,actual,25899.0,,,,
2023-06-01,205272,66,680,actual,7000.0,,,,
2023-06-01,205582,46,24867,actual,89100.0,,,,
2023-06-01,205611,44,24269,actual,5920.0,,,,
2023-06-01,205611,45,,estimated,7115.51,44,49,5920.0,14850.0
2023-06-01,205611,46,,estimated,8552.41,44,49,5920.0,14850.0
2023-06-01,205611,47,,estimated,10279.43,44,49,5920.0,14850.0
2023-06-01,205611,48,,estimated,12355.16,44,49,5920.0,14850.0
2023-06-01,205611,49,24867,actual,14850.0,,,,
2023-06-01,205761,33,50839,actual,21600.0,,,,
