date,shop,genre,item,sales,units
2025-05-11,28239,207774,82872133,2475000,173
2025-05-11,57942,101020,46467057,1233690,172
2025-05-11,47745,201184,83668923,1080000,6
2025-05-11,58880,206363,32416838,820000,10
2025-05-11,62308,100992,47279363,790040,90
2025-05-11,28239,110409,82872046,720000,35
2025-05-11,57626,204586,29815216,560000,2
2025-05-11,62308,201486,47279357,456266,43
2025-05-11,57942,201486,46467059,438080,32
2025-05-11,47745,201184,83668938,432000,1
2025-05-11,32603,508599,45392563,393166,1
2025-05-11,34698,304763,18401803,389376,114
2025-05-11,47745,201184,83667740,386000,3
2025-05-11,61982,507515,52676762,373100,19
2025-05-11,28239,101535,82872274,372000,12
2025-05-11,57626,204586,29814472,370000,1
2025-05-11,57626,204586,29814527,370000,1
2025-05-11,33579,206440,56168709,333760,46
2025-05-11,28239,207774,4116755,323000,22
2025-05-11,47745,201184,83671766,315000,2
2025-05-11,55704,101384,55437373,300000,2
2025-05-11,57626,204586,29813310,300000,1
2025-05-11,33579,206440,56168711,295220,44
2025-05-11,57942,558754,50408208,292740,37
2025-05-11,47745,201184,83669677,288000,1
2025-05-11,42134,214104,50509933,280000,28
2025-05-11,58880,201486,44057537,280000,5
2025-05-11,41480,201184,83452837,273000,17
2025-05-11,47745,201184,83667721,267000,2
2025-05-11,32603,508599,45392535,262111,1
2025-05-11,49866,501098,83772789,250000,24
2025-05-11,28239,207774,82872134,249000,5
2025-05-11,28239,207774,4092168,246500,13
2025-05-11,57942,558754,50408211,244320,15
2025-05-11,58880,101954,29629859,240000,2
2025-05-11,49866,501098,83773236,234000,17
2025-05-11,32603,508599,45392566,219986,1
2025-05-11,18433,206361,58561163,218200,20
2025-05-11,47745,201184,83668936,216000,1
2025-05-11,47745,201184,83668897,210000,12
2025-05-11,62308,100992,47279361,209930,50
2025-05-11,27548,101384,55437364,200000,2
2025-05-11,62113,101384,30800904,200000,1
2025-05-11,32603,508599,45392522,194711,1
2025-05-11,57942,558754,50408212,188190,10
2025-05-11,27548,506012,82833699,185000,1
2025-05-11,59219,216424,57238183,182000,2
2025-05-11,47745,201184,83668896,180000,5
2025-05-11,47745,201184,83234580,180000,1
2025-05-11,18032,402018,38670324,179000,10
2025-05-11,70972,210413,84771695,175000,1
2025-05-11,46926,101384,82834209,167000,1
2025-05-11,44265,201184,3935338,165000,2
2025-05-11,57942,507843,53382956,162030,11
2025-05-11,44265,201184,3877275,162000,2
2025-05-11,57626,204586,29807506,160000,2
2025-05-11,23590,564895,30773323,159200,4
2025-05-11,38864,567538,2115146,156000,19
2025-05-11,58070,501098,40027534,153000,17
2025-05-11,28239,207774,82872018,150000,13
2025-05-11,62113,101384,55437373,150000,1
2025-05-11,65940,510003,38145080,149120,23
2025-05-11,57942,510003,38667286,147300,19
