date,genre,rank,shop,source,sales,sales_low,sales_high,lower_rank,upper_rank,lower_sales,upper_sales
2019-03-01,100181,1,,estimated,30054.66,14025.67,65896.81,,,,
2019-03-01,100181,2,,estimated,30054.66,14025.67,65896.81,,,,
2019-03-01,100181,3,,estimated,30054.66,14025.67,65896.81,,,,
2019-03-01,100181,4,,estimated,30054.66,14025.67,65896.81,,,,
2019-03-01,100181,5,,estimated,26259.61,12254.63,57575.93,,,,
2019-03-01,100181,6,,estimated,26259.61,12254.63,57575.93,,,,
2019-03-01,100181,7,,estimated,26259.61,12254.63,57575.93,,,,
2019-03-01,100181,8,,estimated,22357.06,10433.41,49019.32,,,,
2019-03-01,100181,9,,estimated,20839.34,9725.14,45691.62,,,,
2019-03-01,100181,10,,estimated,19353.42,9031.7,42433.64,,,,
2019-03-01,100181,11,,estimated,17157.89,8007.1,37619.79,,,,
2019-03-01,100181,12,,estimated,17157.89,8007.1,37619.79,,,,
2019-03-01,100181,13,,estimated,17157.89,8007.1,37619.79,,,,
2019-03-01,100181,14,,estimated,17157.89,8007.1,37619.79,,,,
2019-03-01,100181,15,,estimated,17157.89,8007.1,37619.79,,,,
2019-03-01,100181,16,,estimated,13924.27,6498.07,30529.87,,,,
2019-03-01,100181,17,,estimated,13924.27,6498.07,30529.87,,,,
2019-03-01,100181,18,,estimated,13924.27,6498.07,30529.87,,,,
2019-03-01,100181,19,,estimated,13924.27,6498.07,30529.87,,,,
2019-03-01,100181,20,,estimated,13924.27,6498.07,30529.87,,,,
2019-03-01,100487,1,,estimated,82258.57,38510.18,180357.33,,,,
2019-03-01,100487,2,,estimated,54214.34,25380.99,118868.5,,,,
2019-03-01,100487,3,,estimated,45629.33,21361.83,100045.31,,,,
2019-03-01,100487,4,,estimated,37478.11,17545.76,82173.23,,,,
2019-03-01,100487,5,,estimated,37478.11,17545.76,82173.23,,,,
2019-03-01,100487,6,,estimated,29024.96,13588.33,63639.13,,,,
2019-03-01,100487,7,,estimated,29024.96,13588.33,63639.13,,,,
2019-03-01,100487,8,,estimated,29024.96,13588.33,63639.13,,,,
2019-03-01,100487,9,,estimated,27308.44,12784.72,59875.54,,,,
2019-03-01,100487,10,,estimated,23663.15,11078.14,51883.01,,,,
2019-03-01,100487,11,,estimated,23515.2,11008.88,51558.61,,,,
2019-03-01,100487,12,,estimated,21129.42,9891.95,46327.64,,,,
2019-03-01,100487,13,,estimated,21129.42,9891.95,46327.64,,,,
