date,genre,rank,shop,source,sales,sales_low,sales_high,lower_rank,upper_rank,lower_sales,upper_sales
2023-12-01,100181,1,,estimated,23341.04,10892.61,51176.77,,,,
2023-12-01,100181,2,,estimated,23341.04,10892.61,51176.77,,,,
2023-12-01,100181,3,,estimated,23341.04,10892.61,51176.77,,,,
2023-12-01,100181,4,,estimated,23341.04,10892.61,51176.77,,,,
2023-12-01,100181,5,,estimated,23228.82,10840.24,50930.72,,,,
2023-12-01,100181,6,,estimated,23228.82,10840.24,50930.72,,,,
2023-12-01,100181,7,,estimated,23228.82,10840.24,50930.72,,,,
2023-12-01,100181,8,,estimated,23228.82,10840.24,50930.72,,,,
2023-12-01,100181,9,,estimated,22486.22,10493.69,49302.52,,,,
2023-12-01,100181,10,,estimated,19859.81,9268.02,43543.93,,,,
2023-12-01,100181,11,,estimated,19859.81,9268.02,43543.93,,,,
2023-12-01,100181,12,,estimated,19859.81,9268.02,43543.93,,,,
2023-12-01,100181,13,,estimated,19859.81,9268.02,43543.93,,,,
2023-12-01,100181,14,,estimated,19859.81,9268.02,43543.93,,,,
2023-12-01,100181,15,,estimated,19048.04,8889.19,41764.09,,,,
2023-12-01,100181,16,,estimated,13398.39,6252.65,29376.86,,,,
2023-12-01,100181,17,,estimated,13398.39,6252.65,29376.86,,,,
2023-12-01,100181,18,,estimated,13398.39,6252.65,29376.86,,,,
2023-12-01,100181,19,,estimated,13398.39,6252.65,29376.86,,,,
2023-12-01,100181,20,,estimated,13398.39,6252.65,29376.86,,,,
2023-12-01,100487,1,,estimated,138249.83,64723.05,303121.84,,,,
2023-12-01,100487,2,,estimated,81441.65,38127.73,178566.17,,,,
2023-12-01,100487,3,,estimated,60485.02,28316.67,132617.38,,,,
2023-12-01,100487,4,,estimated,54784.4,25647.87,120118.41,,,,
2023-12-01,100487,5,,estimated,54481.4,25506.01,119454.05,,,,
2023-12-01,100487,6,,estimated,43674.93,20446.86,95760.16,,,,
2023-12-01,100487,7,,estimated,43674.93,20446.86,95760.16,,,,
2023-12-01,100487,8,,estimated,43674.93,20446.86,95760.16,,,,
2023-12-01,100487,9,,estimated,42776.18,20026.1,93789.58,,,,
2023-12-01,100487,10,,estimated,37337.63,17479.99,81865.2,,,,
2023-12-01,100487,11,,estimated,37337.63,17479.99,81865.2,,,,
2023-12-01,100487,12,,estimated,35889.32,16801.95,78689.71,,,,
2023-12-01,100487,13,,estimated,35889.32,16801.95,78689.71,,,,
2023-12-01,100487,14,,estimated,29125.73,13635.5,63860.07,,,,
2023-12-01,100487,15,,estimated,29125.73,13635.5,63860.07,,,,
2023-12-01,100487,16,,estimated,29125.73,13635.5,63860.07,,,,
2023-12-01,100487,17,,estimated,28095.02,13152.97,61600.18,,,,
2023-12-01,100487,18,,estimated,28095.02,13152.97,61600.18,,,,
2023-12-01,100487,19,,estimated,28095.02,13152.97,61600.18,,,,
2023-12-01,100487,20,,estimated,28095.02,13152.97,61600.18,,,,
2023-12-01,100992,1,,estimated,655401.99,309493.39,964528.92,,,,
2023-12-01,100992,2,,estimated,326723.52,154285.11,480825.96,,,,
2023-12-01,100992,3,,estimated,204135.23,96396.57,300417.66,,,,
2023-12-01,100992,4,,estimated,166467.15,78608.98,244983.05,,,,
2023-12-01,100992,5,,estimated,138699.59,65496.61,204118.65,,,,
2023-12-01,100992,6,,estimated,131133.65,61923.82,192984.15,,,,
2023-12-01,100992,7,,estimated,110899.15,52368.71,163205.85,,,,
2023-12-01,100992,8,,estimated,110899.15,52368.71,163205.85,,,,
2023-12-01,100992,9,,estimated,82246.26,38838.26,121038.54,,,,
2023-12-01,100992,10,,estimated,65428.8,30896.74,96288.95,,,,
2023-12-01,100992,11,,estimated,65428.8,30896.74,96288.95,,,,
2023-12-01,100992,12,,estimated,65428.8,30896.74,96288.95,,,,
2023-12-01,100992,13,,estimated,46744.59,22073.69,68792.15,,,,
2023-12-01,100992,14,,estimated,46744.59,22073.69,68792.15,,,,
2023-12-01,100992,15,,estimated,46744.59,22073.69,68792.15,,,,
2023-12-01,100992,16,,estimated,42596.2,20114.74,62687.12,,,,
2023-12-01,100992,17,,estimated,36870.14,17410.79,54260.32,,,,
2023-12-01,100992,18,,estimated,32787.1,15482.7,48251.47,,,,
2023-12-01,100992,19,,estimated,32787.1,15482.7,48251.47,,,,
2023-12-01,100992,20,,estimated,32787.1,15482.7,48251.47,,,,
2023-12-01,101020,1,,estimated,302710.48,146016.44,663712.65,,,,
